     0/599     4.61G    0.1106   0.03577    0.0599    0.2063         8       640         0         0  0.002408 0.0003566    0.1105   0.02841   0.05714
   141/599     6.06G   0.02423   0.01311  0.001241   0.03859        21       640    0.7324    0.9955    0.9861     0.608   0.02255   0.01189  0.001485
   142/599     6.06G   0.02593   0.01412  0.001232   0.04128        18       640    0.6375    0.7918    0.7878    0.5339   0.02421   0.01287  0.001603
   143/599     6.06G   0.02435   0.01322  0.001265   0.03883        21       640     0.602    0.7937    0.7849     0.489   0.02632   0.01502  0.001581
   144/599     6.06G   0.02575   0.01327  0.001259   0.04028        17       640    0.7648    0.9862    0.9865    0.4962    0.0253    0.0132    0.0016
   145/599     6.06G   0.02394   0.01274  0.001214   0.03789        15       640    0.7571    0.9918    0.9836    0.5841   0.02424   0.01276  0.001592
   146/599     6.06G   0.02488   0.01328   0.00106   0.03922        18       640    0.6484    0.9921    0.8844    0.5012   0.02489   0.01233  0.001524
   147/599     6.06G    0.0243   0.01263  0.001045   0.03797         8       640     0.601    0.7862    0.7871    0.5157   0.02396   0.01189  0.001451
   148/599     6.06G   0.02575   0.01343  0.001171   0.04036        18       640    0.7266    0.9714    0.8856    0.5322   0.02303   0.01242  0.001546
   149/599     6.06G   0.02379   0.01288  0.001191   0.03786        13       640    0.6319    0.7936     0.788    0.5593   0.02307   0.01236  0.001578
   150/599     6.06G   0.02443   0.01305  0.001074   0.03855        12       640    0.7122    0.9955    0.8858    0.5805   0.02307   0.01232   0.00158
   151/599     6.06G   0.02544   0.01294  0.001164   0.03954        13       640    0.7005    0.9908    0.9879    0.4956   0.02524   0.01368  0.001615
   152/599     6.06G   0.02569   0.01361  0.001135   0.04044        21       640    0.6226    0.7948    0.7908    0.5673   0.02331   0.01252  0.001669
   153/599     6.06G     0.023   0.01275  0.001216   0.03696        16       640    0.6482    0.7974    0.7924    0.5858   0.02279   0.01185  0.001605
   154/599     6.06G   0.02405   0.01333  0.001156   0.03854        19       640    0.7581    0.9843    0.9866     0.524   0.02544    0.0136  0.001817
   155/599     6.06G   0.02364   0.01319  0.001047   0.03787        13       640    0.6396    0.7955    0.8553    0.5907    0.0235   0.01285   0.00163
   156/599     6.06G   0.02371   0.01262  0.001069    0.0374        14       640    0.7725    0.9955     0.987    0.5867   0.02322    0.0126  0.001543
   157/599     6.06G   0.02456   0.01267  0.001045   0.03827        13       640    0.6947         1     0.892    0.5603   0.02357   0.01286   0.00157
   158/599     6.06G   0.02407   0.01347  0.001006   0.03855        12       640    0.6247    0.7873    0.7961    0.5156   0.02367   0.01274  0.001648
   159/599     6.06G    0.0247   0.01326  0.001183   0.03914        12       640    0.6143    0.7918    0.7867    0.6098   0.02169   0.01204   0.00161
   160/599     6.06G   0.02467   0.01361  0.001121   0.03939        22       640     0.601    0.7955    0.7867    0.5977   0.02288   0.01181  0.001533
   161/599     6.06G   0.02385   0.01275  0.001057   0.03765        16       640    0.7319    0.9955    0.9885    0.6034     0.022   0.01105    0.0015
